"C" "U" "Month" "Library"
"101" 1231 1231 "1" "MSCV"
"102" 2096 1068 "2" "MSCV"
"103" 2703 1129 "3" "MSCV"
"104" 3003 962 "4" "MSCV"
"105" 3254 911 "5" "MSCV"
"106" 3405 775 "6" "MSCV"
"107" 3485 615 "7" "MSCV"
"108" 3538 584 "12" "MSCV"
"109" 3570 362 "24" "MSCV"
"110" 3593 413 "33" "MSCV"
"201" 1202 1202 "1" "EF1a"
"202" 2309 1561 "2" "EF1a"
"203" 2662 1078 "3" "EF1a"
"204" 2840 1072 "4" "EF1a"
"205" 2969 954 "5" "EF1a"
"206" 3064 909 "6" "EF1a"
"207" 3103 736 "7" "EF1a"
"208" 3134 716 "12" "EF1a"
"209" 3164 488 "24" "EF1a"
"210" 3170 563 "33" "EF1a"
"301" 258 258 "1" "SFFV"
"302" 450 197 "2" "SFFV"
"303" 555 135 "3" "SFFV"
"304" 623 130 "4" "SFFV"
"305" 678 101 "5" "SFFV"
"306" 721 93 "6" "SFFV"
"307" 739 59 "7" "SFFV"
"308" 755 67 "12" "SFFV"
"309" 764 33 "24" "SFFV"
"310" 777 49 "33" "SFFV"
